;KARKAR,#GOGOAN DUT!;HAHA,#I REMEMBER THAT!;HA HA, ÇA ME RAPPELLE#NOTRE RENCONTRE !;HA, DARAN WERDE#ICH MICH ERINNERN!;¡JA, JA#LO RECUERDO!;AH AH,#RICORDO!;HAHA#EU ME LEMBRO DISSO!;ХА-ХА,#Я ЭТО ЗАПОМНЮ!;あぁ#それそれ それだよ!;하하,#그래 그랬었지!;哈哈,#我记住了!;哈哈,#我記住了!;
;KONTUZ IBILI!;BE CAREFUL!;ATTENTION !;AUFPASSEN!;¡CUIDADO!;FAI ATTENZIONE!;TENHA CUIDADO!;БУДЬ ОСТОРОЖНЕЕ!;きをつけな!;조심해!;小心!;小心!;
;DENBORA BEHAR DUT GAUZAK KONPONTZEKO,#BAINA GERO BIDAIA BAT EGIN DEZAKEGU!;I NEED SOME TIME TO FIX THINGS,#BUT THEN WE CAN GO ON A TRIP!;LAISSE-MOI LE TEMPS DE RÉPARER,#PUIS JE T'EMMÈNE EN CROISIÈRE.;ICH MUSS EIN PAAR DER SACHEN#REPARIEREN, ABER DANN DREHEN#WIR EINE RUNDE!;¡NECESITO ARREGLAR ALGUNAS COSAS,#PERO LUEGO PODEMOS IRNOS!;ORA MI SERVE UN PO' DI TEMPO,#MA POI POTREMO SALPARE!;SÓ PRECISO FAZER UNS REPAROS,#DEPOIS PODEMOS FAZER UMA VIAGEM!;МНЕ НУЖНО ВРЕМЯ НА ПОЧИНКУ,#НО ПОТОМ МЫ ОТПРАВИМСЯ В ПУТЕШЕСТВИЕ!;いくつか てなおしが ひつよう なんだが#おわりしだい しゅっぱつしよう!;보트를 고치려면 잠시 시간이 필요해.#하지만 끝나면 함께 모험을 떠날 수 있어!;我需要一些时间来修补,#但是之后我们可以继续旅行!;我需要一些時間來修補,#但是之後我們可以繼續旅行!;
;;;;;;;;;;;;;
;IGO!;HOP IN!;EMBARQUE !;KOMM AN BORD!;¡SUBE!;SALTA A BORDO!;PODE VIR!;ЗАПРЫГИВАЙ!;ほら のって!;어서 올라타!;上来!;上來!;
;KARKAR,#GOGOAN DUT!;HAHA,#I REMEMBER THAT!;HA HA, ÇA ME RAPPELLE#NOTRE RENCONTRE !;HA, DAS VERGESSE#ICH NICHT!;¡JA, JA#LO RECUERDO!;AH AH,#RICORDO!;HAHA#EU ME LEMBRO DISSO!;ХА-ХА,#Я ЭТО ЗАПОМНЮ!;あぁ#それそれ それだよ!;하하,#그래 그랬었지!;哈哈,#我记得!;哈哈,#我記得!;
;KONTUZ IBILI!;BE CAREFUL!;ATTENTION !;PASS DOCH AUF!;¡CUIDADO!;FAI ATTENZIONE!;TENHA CUIDADO!;БУДЬ ОСТОРОЖНЕЕ!;きをつけな!;조심해!;小心!;小心!;
;;;;;;;;;;;;;
;MAITE DUT LEKU HAU#ARRANTZARA NOA ORAINTXE.;I LOVE THIS PLACE#MIGHT GO FISHING IN A MINUTE.;J'ADORE CETTE ÎLE.#ÇA TE DIT DE VENIR PÊCHER#DANS UNE MINUTE ?;ICH LIEBE DIESEN ORT.#ICH KÖNNTE ANGELN GEHEN.;ME ENCANTA ESTE SITIO.#VOY A IR A PESCAR A LA DE YA.;ADORO QUESTO POSTO:#ANDREI DI CORSA A PESCARE.;ADORO ESSE LUGAR.#ACHO QUE VOU PESCAR UM POUCO.;Я ОБОЖАЮ ЭТО МЕСТО#СЕЙЧАС ПОЙДУ ПОРЫБАЧИТЬ.;このばしょは さいこうさ#つりでも しようかな…;정말 멋진 섬이야.#일 분 정도 낚시라도 하러 갈까?;我喜欢这个地方#也许很快就能钓鱼了.;我喜歡這個地方#也許很快就能釣魚了.;
;KARKAR,#GOGOAN DUT!;HAHA,#I REMEMBER THAT!;HA HA, ÇA ME RAPPELLE#NOTRE RENCONTRE !;HA, DAS VERGESSE#ICH NIEMALS!;¡JA, JA#LO RECUERDO!;AH AH,#RICORDO!;HAHA#EU ME LEMBRO DISSO!;ХА-ХА,#Я ЭТО ЗАПОМНЮ!;あぁ#それそれ それだよ!;하하,#그래 그랬었지!;哈哈,#我记得!;哈哈,#我記得!;
;KONTUZ IBILI!;BE CAREFUL!;ATTENTION !;PASS AUF!;¡CUIDADO!;FAI ATTENZIONE!;TENHA CUIDADO!;БУДЬ ОСТОРОЖНЕЕ!;きをつけな!;조심해!;小心!;小心!;
;;;;;;;;;;;;;
;EDERKI GERATZEN ZAIZKIZU!;THOSE LOOK GREAT ON YOU!;ELLES TE VONT SUPER BIEN !;DIE STEHEN DIR SUPER!;¡TE QUEDAN GUAY!;TI STANNO BENISSIMO!;FICOU ÓTIMO EM VOCÊ!;ОНИ ОТЛИЧНО СИДЯТ НА ТЕБЕ!;よく おにあいだよ!;신발 잘 어울리네!;看起来很适合你!;看起來很適合你!;
;ONGI ETORRI ZAPATILEN TXABOLARA.#ZAPATILA AZKAR PAREA#@ TXANPON ZIZTRINEN TRUKE!;WELCOME TO SNEAKER HUT.#ONLY @ COINS#FOR A PAIR OF FAST SHOES!;BIENVENUE À LA SOLDERIE DES BASKETS.#JE TE FAIS LA PAIRE DE#CHAUSSURES VÉLOCES À @ PIÈCES !;WILLKOMMEN IM SNEAKER-SHOP!#NUR @ MÜNZEN#FÜR SCHNELLE SCHUHE!;ESTO ES LA CHOZA DE ZAPAS.#¡POR SOLO @ MONEDAS,#TENDRÁS CALZADO RÁPIDO!;ECCOTI NEL MIO NEGOZIO DI SCARPE.#SOLO @ MONETE PER#UN BEL PAIO DI SCARPE RAPIDE!;ESTE É O CAFOFO DO TÊNIS.#APENAS @ MOEDAS#POR UM SAPATO VELOZ!;ДОБРО ПОЖАЛОВАТЬ В ОБУВНУЮ ЛАВКУ.#ВСЕГО @ МОНЕТ#ЗА ПАРУ СКОРОСТНЫХ БОТИНОК!;スニーカーハットへ ようこそ#ちょう こうそく スニーカーが#たったの @ コインだよ!;운동화 가게에 온 걸 환영해.#신속 신발을 단돈#@ 코인에 판매 중이야!;欢迎来到运动鞋商店.购买加速鞋时!#只接受 @硬币#;歡迎來到運動鞋商店.購買加速鞋時!#只接受 @硬幣#;
;ZAPATILA EDER HAUEK#ZUREAK DIRA!;THESE BEAUTIFUL SHOES#ARE ALL YOURS!;CES SUBLIMES BASKETS#SONT TOUTES À TOI !;DIESE SCHÖNEN SCHUHE#GEHÖREN DIR!;¡ESTE BONITO CALZADO#ES TODO TUYO!;QUESTE FAVOLOSE SCARPE#SONO TUTTE TUE!;ESTE LINDO CALÇADO#É TODO SEU!;ЭТИ ПРЕКРАСНЫЕ БОТИНКИ#ТЕПЕРЬ ТВОИ!;どれも いっきゅうひん だよ#はかなきゃ そんだよ!;이 아름다운 신발들 중에서#원하는 걸 마음껏 골라봐!;这双好看的鞋#是你的了!;這雙好看的鞋#是你的了!;
;EZ AHAZTU HIDRATATZEA!;GOTTA STAY HYDRATED!;IL FAUT TOUJOURS PENSER À S'HYDRATER !;IMMER GENUG WASSER TRINKEN!;¡HAY QUE HIDRATARSE!;DEVO IDRATARMI!;É IMPORTANTE SE#MANTER HIDRATADO!;НУЖНО ПОСТОЯННОЕ УВЛАЖНЕНИЕ!;みずが へっては いくさは なんちゃら…;신발 상하잖아!;注意补水!;注意補水!;
;POLIZIARI DEITUKO DIOT.;I'M CALLING THE COPS.;J'APPELLE LES FLICS.;ICH HOL DIE POLIZEI.;VOY A LLAMAR A LA POLI.;IO CHIAMO LA POLIZIA.;VOU CHAMAR A POLÍCIA.;Я ЗВОНЮ В ПОЛИЦИЮ.;けいさつを よぶぞ!;경찰을 부를 거야.;我报警了.;我報警了.;
;;;;;;;;;;;;;
;2 MINUTU BARRU ITZULIKO NAIZ...;BACK IN 2 MINUTES...;DE RETOUR DANS 2 MINUTES...;BIN IN 2 MINUTEN WIEDER DA...;VUELVO EN 2 MINUTOS...;TORNO FRA 2 MINUTI...;VOLTO EM 2 MINUTOS...;БУДУ ЧЕРЕЗ 2 МИНУТЫ...;ただいま ふざいに しております…;2분 후에 돌아오겠습니다...;;;
;22 MNTU BRRU ITZLK NZ...;BCK AIN 22 MNTTS.. .;DR EOOU RT 22 MNTTS...;8II II 2 MMTHN WIHOHK DL. .;VLVO NN 22 MNTOSS...;TRRRNONOFRFR 22MNUUUT.. .;VLT E 22 MINTTS.. .;БДУ ЧЕУРЕ 32 МНУТЬ.. .;たいま ふいに してます…;에분 22후 다겠습오돌아.. .;2分钟内返回…;2分鐘內返回…;
;. . .;. . .;. . .;. . .;. . .;...;. . .;. . .;. . .;. . .;22分中内反回...;22分中內反回...;
;;;;;;;;;;;…;…;
;BETI POZTEN NAIZ ZU IKUSTEAZ!;ALWAYS GOOD TO SEE YOU!;ÇA FAISAIT LONGTEMPS !;IMMER GUT, DICH ZU SEHEN!;¡QUÉ BIEN VERTE, COMO SIEMPRE!;VEDERTI È SEMPRE UN PIACERE!;É SEMPRE UM PRAZER TE VER!;ВСЕГДА ПРИЯТНО ПОВИДАТЬСЯ С ТОБОЙ!;どうもどうも いらっしゃいませ!;언제나 널 만나는 건 반가운 일이지!;;;
;GASTATZEKO GOGOA?#BIHOTZ EDER BAT @ TXANPONEN TRUKE!;FEEL LIKE SPENDING?#@ COINS FOR A BEAUTIFUL HEART!;J'AI UNE BONNE AFFAIRE POUR TOI.#@ PIÈCES POUR UN MAGNIFIQUE COEUR !;WILLST DU WAS KAUFEN?#@ MÜNZEN FÜR EIN SCHÖNES HERZ!;¿QUIERES GASTAR?#¡@ MONEDAS POR UN BONITO CORAZÓN!;SEI IN VENA DI FARE ACQUISTI?#UN BELLISSIMO CUORE PER @ MONETE!;VAMOS GASTAR UM POUCO?#@ MOEDAS POR UM LINDO CORAÇÃO!;ХОЧЕШЬ ПОТРАТИТЬСЯ?#@ МОНЕТ ЗА ЧУДЕСНОЕ СЕРДЦЕ!;さいふが はんのう してるって?#うつくしい ハートが たったの @ コイン!;쇼핑을 하고 싶다고?#아름다운 하트 하나가 단돈 @코인에 판매 중이야!;非常高兴见到你!;非常高興見到你!;
;BAI?;YES?;OUI ?;JA?;¿HACE?;SÌ?;SIM?;ДА?;なんだ?;왜 그래?;愿意花费?#@硬币换取一颗美丽的心么!;願意花費?#@硬幣換取一顆美麗的心麼!;
;EZ DUZU DESKONTURIK JASOKO!;YOU'RE NOT GETTING A DISCOUNT!;TU N'AURAS PAS DE REMISE !;ES GIBT KEINEN RABATT!;¡NO TE VOY A HACER DESCUENTO!;NON TI FACCIO LO SCONTO!;NADA DE DESCONTO PRA VOCÊ!;ТЫ НЕ ПОЛУЧИШЬ СКИДКУ!;にどと わりびきなんか するもんか!;이래도 절대 안 깎아줄 거야!;好么?;好麼?;
;ZURETZAT!#GOZATU.;ALL YOURS!#ENJOY.;À TA SANTÉ !#MON COEUR EST À TOI !;IST DEINS!#VIEL SPASS DAMIT!;TODO TUYO.#QUE LO DISFRUTES.;È TUTTO TUO!#GODITELO.;É TODO SEU!#PEGUE.;ЗАБИРАЙ!#ПОЛЬЗУЙСЯ!;さぁ もってけ!#まいど おおきに!;마음껏 골라봐!#어서!;无法得到折扣!;無法得到折扣!;
;;;;;;;;;;;都属于你了!#请好好享受.;都屬於你了!#請好好享受.;
;ESKERRIK ASKO LAGUN!;THANKS FRIEND!;MERCI HUIT FOIS !;DANKE, FREUND!;¡GRACIAS, CAMARADA!;GRAZIE MILLE!;OBRIGADO, JOVEM!;СПАСИБО, ДРУЖИЩЕ!;ありがとう わが ともよ!;고마워 친구!;谢谢你,朋友!;謝謝你,朋友!;
;NIRE 8 GARROAK GALDU DITUT,#LAGUN NAZAKEZU?#ORAINDIK @REN BILA NABIL...;I LOST MY 8 TENTACLES,#CAN YOU HELP ME?#I'M STILL LOOKING FOR @...;J'AI ÉGARÉ MES 8 TENTACULES,#TU VEUX BIEN M'AIDER ?#IL M'EN MANQUE ENCORE @...;ICH HABE MEINE 8 TENTAKEL VERLOREN.#HILFST DU MIR?#ICH SUCHE NOCH @...;HE PERDIDO MIS 8 TENTÁCULOS,#¿PODRÍAS AYUDARME?#AÚN ANDO BUSCANDO @...;HO PERSO I MIEI 8 TENTACOLI,#MI AIUTERESTI?#ME NE MANCANO ANCORA @...;PERDI MEUS 8 TENTÁCULOS,#PODE ME AJUDAR?#AINDA ESTOU PROCURANDO @...;Я ПОТЕРЯЛ СВОИ 8 ЩУПАЛЕЦ,#МОЖЕШЬ ПОМОЧЬ МНЕ?#МНЕ ВСЕ ЕЩЕ НЕ ХВАТАЕТ @...;ちょっと たすけてくれないか?#あしを なくしちゃったんだ#まだ @つ たりない...;내 여덟 다리를 잃었어.#날 도와주지 않을래?#아직 @개 부족해...;我失去了8个触角,#你能帮我么?#我还在找@...;我失去了8個觸角,#你能幫我麼?#我還在找@...;
;NIRE 8 GARROAK GALDU DITUT,#LAGUN NAZAKEZU?;I LOST MY 8 TENTACLES,#CAN YOU HELP ME?;J'AI ÉGARÉ MES 8 TENTACULES,#TU VEUX BIEN M'AIDER ?;ICH HABE MEINE 8 TENTAKEL VERLOREN.#HILFST DU MIR?;HE PERDIDO MIS 8 TENTÁCULOS,#¿PODRÍAS AYUDARME?;HO PERSO I MIEI 8 TENTACOLI,#MI AIUTERESTI?;PERDI MEUS 8 TENTÁCULOS,#PODE ME AJUDAR?;Я ПОТЕРЯЛ СВОИ 8 ЩУПАЛЕЦ,#МОЖЕШЬ ПОМОЧЬ МНЕ?;じまんの 8ぽんあしを なくしてしまった#たすけて くれないか?;내 여덟 다리를 잃었어,#날 도와주지 않을래?;我失去了8个触角,#你能帮我么?;我失去了8個觸角,#你能幫我麼?;
;HAU DA HAU BIZITZA!;WHAT A LIFE!;QUELLE VIE !;WAS FÜR EIN LEBEN!;¡QUÉ VIDA ESTA!;CHE VITA!;QUE VIDA!;ЧТО ЗА ЖИЗНЬ!;なんてこった!;아아 인생이란!;这就是生活!;這就是生活!;
;AURKITU NAUZU!#@;FOUND ME!#@;TU AS TROUVÉ MA CACHETTE !#@;HAST MICH!#@;¡ME HAS ENCONTRADO!#@;TROVATO!#@;ME ACHOU!#@;ПОПАЛСЯ!#@;おっとっと! #@;날 찾아냈구나!#@;你找到我了!#@;你找到我了!#@;
;;;;;;;;;;;;;
;UTZI LANDAREAK BAKEAN!;LEAVE THE PLANTS ALONE!;LAISSE LES ARBRES EN PAIX !;LASS DIE PFLANZEN IN FRIEDEN!;¡DEJA EN PAZ LAS PLANTAS!;LASCIA STARE LE PIANTE!;DEIXE AS PLANTAS EM PAZ!;ОСТАВЬ РАСТЕНИЯ В ПОКОЕ!;しょくぶつに てを だすな!;식물들을 건드리지 마!;把裤子留这吧!;把褲子留這吧!;
;HARA!;WHOA!;WAOUH !;BOAH!;¡HEY!;UAAAU!;UHUL!;ВАУ!;ヒャッハーッ!;야호!;喔!;喔!;
;EZ DA BIDEZKOA!;NOT FAIR!;C'EST VRAIMENT TROP INJUSTE !;NEIN, NEIN!;¡NO ES JUSTO!;NON È GIUSTO!;PUXA VIDA!;НЕЧЕСТНО!;まじかよ!;불공평해!;不公平!;不公平!;
;AIZU!;HEY!;SALUT !;HE!;¡EH!;EHI!;EI!;ЭЙ!;おっす!;이봐!;嗨!;嗨!;
;;;;;;;;;;;;;
;BASAMORTU HONEK EZ DU BUKAERARIK#ETA EZ DAGO EZER!;THIS DUMB DESERT GOES ON FOREVER#AND THERE'S NOTHING THERE!;SALETÉ DE DÉSERT QUI FINIT JAMAIS !#LE SABLE, J'AI PASSÉ L'ÂGE !;DIESE BLÖDE WÜSTE IST EWIG GROSS,#UND DA IST NICHTS!;¡ESTE ESTÚPIDO DESIERTO NO SE ACABA#NUNCA! ¡Y NO HAY NADA!;IN QUESTO STUPIDO DESERTO NON C'È#NIENTE E NON SUCCEDE MAI NIENTE!;ESSE DESERTO IDIOTA NÃO ACABA NUNCA#E NÃO TEM NADA POR AQUI!;ЭТА ДУРАЦКАЯ ПУСТЫНЯ БЕСКОНЕЧНАЯ,#И ТАМ НИЧЕГО НЕТ!;どこを みまわしても さばく ばっかり#つまんなすぎて マジもうムリ!;이 깡마른 사막엔#평생 아무것도 없겠지!;这沉默的沙漠永远都会这样#这什么都没有!;這沉默的沙漠永遠都會這樣#這什麼都沒有!;
;HARA!;WHOA!;WAOUH !;BOAH-EY!;¡HEY!;UAAAU!;UHUL!;ВАУ!;やっべーっ!;야호!;真棒!;真棒!;
;EZ DAGO ONDO!;NOT COOL!;PAS COOL !;NICHT GEIL!;¿DE QUÉ VAS?;NON È BELLO!;QUE RUDE!;НЕ КРУТО!;ちょっ まてよ!;그러지 마!;不好!;不好!;
;;;;;;;;;;;;;
;...;. . .;. . .;. . .;. . .;...;. . .;. . .;. . .;. . .;…;…;
;HARRO NAGO ZUTAZ...#ZURE ERANTZUKIZUNEZ ARDURATZEN ZARA,#BAINA EZ ZARA BESTEEI LAGUNTZEKO BELDUR#ZIUR MOLDATUKO ZARELA!;I'M PROUD OF YOU...#YOU DEAL WITH YOUR RESPONSIBILITIES,#BUT ARE NOT SCARED TO HELP OTHERS.#I'M SURE YOU'LL BE FINE!;WAOUH, TU ASSURES...#T'ES UN GÉNIE DE L'EXPLORATION,#ET, EN PLUS, T'AIDES LES GENS.#BRAVO, TU IRAS LOIN !;ICH BIN STOLZ AUF DICH...#DU NIMMST DEINE VERANTWORTUNGEN WAHR,#HAST ABER KEINE ANGST, ANDEREN ZU#HELFEN. AUS DIR WIRD MAL WAS!;MUY BIEN HECHO...#TE OCUPAS DE TUS RESPONSABILIDADES,#PERO NO DUDAS EN AYUDAR A OTROS.#¡TODO TE IRÁ BIEN, SEGURO!;MI RIEMPI DI ORGOGLIO...#TI PRENDI LE TUE RESPONSABILITÀ,#MA AIUTI ANCHE GLI ALTRI.#TE LA CAVERAI SICURAMENTE!;MEUS PARABÉNS...#VOCÊ CUIDA DAS SUAS RESPONSABILIDADES,#MAS NÃO HESITA EM AJUDAR O PRÓXIMO.#VOCÊ VAI SE SAIR MUITO BEM!;Я ГОРЖУСЬ ТОБОЙ...#ТЫ СПРАВЛЯЕШЬСЯ С ОБЯЗАННОСТЯМИ,#НО НЕ БОИШЬСЯ ПОМОГАТЬ ДРУГИМ.#Я ВЕРЮ, У ТЕБЯ ВСЕ БУДЕТ ХОРОШО!;ほんとに すごい…#たにんを たすけることを おそれずに#とうとう やりとげて しまうなんて#きみなら きっと だいじょうぶさ!;네가 자랑스럽구나...#맡은 일을 잘 해냈을 뿐만 아니라,#다른 이들도 망설임 없이 도우다니!#네 앞길도 분명 순탄할 거야.;我为你感到骄傲…#你担负了责任,#还不畏艰险帮助了其他人#我敢保证你一定会很幸福的!;我為你感到驕傲…#你擔負了責任,#還不畏艱險幫助了其他人#我敢保證你一定會很幸福的!;
;;;;;;;;;;;;;
;ESAN NIZUN OASIA FALTSUA ZELA!;TOLD YOU THE OASIS WAS FAKE!;ALORS, JE L'AVAIS PAS DIT QUE#CETTE OASIS ÉTAIT UN MIRAGE ?;ICH SAGTE JA, DIE OASE#IST EIN REINFALL!;¡YA TE DIJE QUE EL OASIS ERA FALSO!;TE L'AVEVO DETTO CHE L'OASI ERA FINTA!;EU FALEI QUE O OÁSIS ERA FALSO!;ВОТ ВИДИШЬ, ОАЗИС БЫЛ ВЫДУМКОЙ!;ただの ウワサだって いったろ？;오아시스는 가짜라고 말했잖아!;告诉你吧,绿洲根本不存在!;告訴你吧,綠洲根本不存在!;
;LEKU GUZTIAK MIATZEN DITUT.#OASIKO MAMU EZPATA-JAURTITZAILEA#ZURRUMURRUA BESTERIK EZ DA!;I MAPPED EVERY LOCATION.#THE SWORD-THROWING OASIS GHOST#IS ONLY A RUMOR!;J'AI CARTOGRAPHIÉ LE MONDE ENTIER.#LE FANTÔME LANCEUR D'ÉPÉES DE L'OASIS#EST UNE LÉGENDE !;ICH HABE VON ALLEN ORTEN KARTEN#GEMACHT. DER SCHWERTWURF-OASENGEIST#IST EIN GERÜCHT!;TENGO ESTUDIADA LA ZONA.#EL FANTASMA LANZAESPADAS DEL#OASIS ES UNA LEYENDA.;CONOSCO OGNI CENTIMETRO QUI.#LO SPIRITO LANCIA-SPADE DELL'OASI#È SOLO UNA DICERIA!;EU MAPEEI TODOS OS LOCAIS.#O FANTASMA LANÇA-ESPADAS DO OÁSIS#É SÓ UM BOATO!;ВСЕ МЕСТА ОТМЕЧЕНЫ НА МОИХ КАРТАХ.#МЕТАЮЩИЙ МЕЧИ ПРИЗРАК ОАЗИСА —#ВСЕГО ЛИШЬ ВЫДУМКА!;ちずを つくっておいた#つるぎを なげてくる ゆうれいが でるっていうのは#ただの ウワサだって!;나는 모든 곳의 지도를 그렸다고.#검을 던진다는 오아시스 유령은#소문에 지나지 않아!;我画出了每一个地点.#会扔剑的绿洲幽灵#根本就是谣传而已!;我畫出了每一個地點.#會扔劍的綠洲幽靈#根本就是謠傳而已!;
;FRESKAGARRIA, ESKERRIK ASKO!;REFRESHING, THANKS!;RAFRAÎCHISSANT, MERCI !;DANKE, DAS ERFRISCHT!;¡QUÉ GUSTITO, GRACIAS!;RINFRESCANTE, GRAZIE!;REFRESCANTE. VALEU!;ОСВЕЖАЕТ, СПАСИБО!;あぁ いきかえる ありがとよ!;시원하네, 고마워!;真是太爽了,谢谢!;真是太爽了,謝謝!;
;EZ NAIZ ZUHAITZ BAT!;I'M NOT A TREE!;J'AI L'AIR D'UN PALMIER ?;ICH BIN DOCH KEIN BAUM!;¡NO SOY UN ÁRBOL!;NON SONO UN ALBERO!;NÃO SOU UMA ÁRVORE!;Я НЕ ДЕРЕВО!;しょくぶつじゃ ねーよ!;나는 나무가 아니야!;我不是无坚不摧的!;我不是無堅不摧的!;
;;;;;;;;;;;;;
;LANTEGIAK TXARRAK DIRA;FACTORIES ARE BAD;À BAS LES USINES;FABRIKEN SIND SCHLECHT;LAS FÁBRICAS SON MALAS;ABBASSO LE FABBRICHE;AS FÁBRICAS POLUEM;ЗАВОДЫ ПРИНОСЯТ ВРЕД;こうじょう はんたい ダメ ぜったい;공장은 악하다;工厂不好;工廠不好;
;SEINALEGILE OSPETSUA;FAMOUS SIGN MAKER;CÉLÈBRE FABRICANT DE PANNEAUX;BERÜHMTER SCHILDERMACHER;CARTELISTA FAMOSO;FAMOSO PRODUTTORE DI CARTELLI;FAMOSO PLAQUEIRO;ИЗВЕСТНЫЙ ОБОЗНАЧАТЕЛЬ;クチコミ にんき れんぞく いちい;유명한 표지판쟁이;著名的标志制造商;著名的標誌製造商;
;DESAGERTUTAKO PERTSONA#(NORBAITEK LAGUNTZERIK?);LOST PERSON#(SOMEONE HELP THEM?);NAUFRAGÉ DU DÉSERT#(QUELQU'UN POUR L'AIDER ?);VERLAUFEN#(HILFT DA MAL JEMAND?);PERSONA DESAPARECIDA#(¿ALGUIEN ECHA UNA MANO?);PERSONA SMARRITA#(QUALCUNO PUÒ AIUTARLA?);PESSOA PERDIDA#(ALGUÉM PODERIA AJUDAR?);ЧЕЛОВЕК ПОТЕРЯЛСЯ#(КТО-НИБУДЬ, ПОМОГИТЕ ЕМУ!);まよいびと います#(たすけても いいですよ?);길잃은 사람#(아무나 도와주길);迷路的人#(会有人帮他们么?);迷路的人#(會有人幫他們麼?);
;TENPLU SEKRETUA;SECRET TEMPLE;TEMPLE SECRET;GEHEIMER TEMPEL;TEMPLO SECRETO;TEMPIO SEGRETO;TEMPLO SECRETO;ТАИНСТВЕННЫЙ ХРАМ;しるひとぞ しる おてらへは こちら;비밀의 사원;神秘寺庙;神秘寺廟;
;ZAPATILEN TXABOLA;SNEAKER HUT;SOLDERIE DES BASKETS;SNEAKER-SHOP;CHOZA DE ZAPAS;NEGOZIO DI SCARPE;CAFOFO DO TÊNIS;ОБУВНАЯ ЛАВКА;スニーカーハット;운동화 가게;运动鞋商店;運動鞋商店;
;HONDAKINAK;RUINS;RUINES;RUINEN;RUINAS;ROVINE;RUÍNAS;РУИНЫ;いせき;유적지;废墟;廢墟;
;BASAMORTUKO KANPALEKUA;DESERT CAMPSITE;CAMPEMENT DU DÉSERT;WÜSTEN-LAGERPLATZ;CAMPAMENTO DESIERTO;CAMPEGGIO NEL DESERTO;CAMPING NO DESERTO;ЗАБРОШЕННЫЙ ЛАГЕРЬ;さばくの キャンプじょう;사막 캠프장;沙漠露营;沙漠露營;
;SEINALEGILEA#(SARITUA);SIGN MAKER#(AWARD-WINNING);FABRICANT DE PANNEAUX#(OSCAR DU MEILLEUR PANNEAU);SCHILDERMACHER#(PREISGEKRÖNT);CARTELISTA#(PREMIADO);(PREMIATA)#PRODUZIONE CARTELLI;PLAQUEIRO#(PREMIADO);ОБОЗНАЧАТЕЛЬ#(УДОСТОЕННЫЙ НАГРАДЫ);かんばんや#(ちまたでは とてもゆうめい);표지판쟁이#(상 받은 적 있음);标志制造商#(获得奖项);標誌製造商#(獲得獎項);
;SEINALEGILEA HARRIGARRIA;AMAZING SIGN MAKER;FABULEUX FABRICANT DE PANNEAUX;KLASSE SCHILDERMACHER;CARTELISTA ALUCINANTE;SENSAZIONALE PRODUZIONE CARTELLI;INCRÍVEL PLAQUEIRO;ВОСХИТИТЕЛЬНЫЙ ОБОЗНАЧАТЕЛЬ;すばらしき かんばんや;훌륭한 표지판쟁이;非常厉害的标志制造商;非常厲害的標誌製造商;
;OHARRA:#BASAMORTU AMAIGABEA;WARNING:#ENDLESS DESERT;ATTENTION :#DÉSERT SANS FIN;ACHTUNG:#ENDLOSE WÜSTE;ATENCIÓN:#DESIERTO INFINITO;ATTENZIONE:#DESERTO SENZA FINE;AVISO:#DESERTO INFINITO;ОСТОРОЖНО:#БЕСКРАЙНЯЯ ПУСТЫНЯ;けいこく#おわりなき さばく;경고:#끝없는 사막;警告:#无边无际的沙漠;警告:#無邊無際的沙漠;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;%0 EDUKIERA;0% CAPACITY;CAPACITÉ : 0 %;0% KAPAZITÄT;0 % DE CAPACIDAD;CAPACITÀ 0%;0% DA CAPACIDADE;МОЩНОСТЬ 0%;あんごう かいじょ：0%;전력 0%;容量0%;容量0%;
;%33KO EDUKIERA;33% CAPACITY;CAPACITÉ : 33 %;33% KAPAZITÄT;33 % DE CAPACIDAD;CAPACITÀ 33%;33% DA CAPACIDADE;МОЩНОСТЬ 33%;あんごう かいじょ：33%;전력 33%;容量33%;容量33%;
;%66KO EDUKIERA;66% CAPACITY;CAPACITÉ : 66 %;66% KAPAZITÄT;66 % DE CAPACIDAD;CAPACITÀ 66%;66% DA CAPACIDADE;МОЩНОСТЬ 66%;あんごう かいじょ：66%;전력 66%;容量66%;容量66%;
;%100EKO EDUKIERA;100% CAPACITY;CAPACITÉ : 100 %;100% KAPAZITÄT;100 % DE CAPACIDAD;CAPACITÀ 100%;100% DA CAPACIDADE;МОЩНОСТЬ 100%;あんごう かいじょ：100%;전력 100%;容量100%;容量100%;
;MENDEBALDEA: ADOS;WEST: OK;OUEST : O.K.;WESTEN: OK;OESTE: VALE;OVEST: OK;OESTE: OK;ЗАПАД: ОК;にし：クリア;서쪽: 정상;西部:可以;西部:可以;
;MENDEBALDEA: ERROREA;WEST: ERROR;OUEST : ERREUR;WESTEN: FEHLER;OESTE: ERROR;OVEST: ERRORE;OESTE: ERRO;ЗАПАД: ОШИБКА;にし：エラー;서쪽: 에러;西部:错误;西部:錯誤;
;EKIALDEA: ADOS;EAST: OK;EST : O.K.;OSTEN: OK;ESTE: VALE;EST: OK;LESTE: OK;ВОСТОК: ОК;ひがし：クリア;동쪽: 정상;东部:可以;東部:可以;
